dia,turno,tms_x_turno,dosificacion_acido_x_dia_kg_tms,flujo_sx_hg,flujo_sx_lg,flujo_lix_hg,flujo_lix_lg,ph_pls_hg,ph_pls_lg
2025-02-19,B,16595.157462341984,40.179480815141844,826.7089029947916,897.2657877604166,989.32470703125,981.5384114583334,1.350000023841858,1.4600000381469727
2025-02-20,A,16273.247985343854,,812.1590169270834,898.3355305989584,940.7472330729166,960.525390625,1.3600000143051147,1.440000057220459
2025-02-20,B,13208.412983897371,38.00226863638732,815.5826009114584,897.5379231770834,1078.444580078125,985.658935546875,1.3300000429153442,1.440000057220459
2025-02-21,A,16061.400356824943,,845.5013834635416,898.47509765625,983.0764973958334,996.5970052083334,1.2699999809265137,1.440000057220459
2025-02-21,B,5219.900259014188,40.00178444762942,891.56982421875,900.449462890625,1025.4449055989583,908.3902994791666,1.25,1.4299999475479126
2025-02-22,A,17596.43315506122,,897.1525065104166,900.539794921875,1104.471923828125,903.9979654947916,1.2300000190734863,1.4199999570846558
2025-02-22,B,13246.553861543569,34.948301194682955,895.679931640625,898.4512532552084,1054.2124837239583,926.6547037760416,1.25,1.4199999570846558
2025-02-23,A,10826.91579792015,,896.714111328125,900.99560546875,924.4544270833334,916.9066569010416,1.25,1.3899999856948853
2025-02-23,B,5.2219061851501465,,896.6444901653977,834.6757762473986,751.0765787760416,639.39453125,1.25,1.3899999856948853
2025-02-24,A,1e-06,,522.4473807420014,0.0,0.052210400501887,0.04510965943336487,,
2025-02-24,B,1e-06,,0.0,0.0,0.0,0.0,,
2025-02-25,A,1e-06,,0.0,0.0,0.0,0.0,,
2025-02-25,B,1e-06,,0.0,0.0,0.0,0.0,,
2025-02-26,A,1e-06,,0.0,0.0,0.0,0.0,,
2025-02-26,B,1e-06,,1125.6501959722216,648.3222049530624,0.0,0.0,,
2025-02-27,A,1e-06,,274.55669841574553,0.0,0.0,0.0,,
2025-02-27,B,915.1481323242188,,0.0,0.0,0.0,0.0,,
2025-02-28,A,691.8349609375,,410.852148074926,376.1013135051974,0.0,0.0,,
2025-02-28,B,12873.463378880308,44.230505291493536,631.6989782206941,665.8582260892731,954.6646321614584,226.7598876953125,,
2025-03-01,A,6989.882390658177,,740.3325297069738,733.6556420986832,904.1000162760416,775.2848307291666,1.440000057220459,1.440000057220459
2025-03-01,B,17297.926109261036,35.08826969759984,901.5411783854166,899.5481770833334,1086.923095703125,902.5525716145834,1.6399999856948853,1.5700000524520874
2025-03-02,A,7315.3753809303125,,905.8752875482338,897.9973494858384,1132.4814453125,901.7020670572916,1.6100000143051147,1.6399999856948853
2025-03-02,B,17485.366620775658,44.12959671760556,904.9501139322916,897.83447265625,1017.9610188802084,918.5979817708334,1.5099999904632568,1.600000023841858
2025-03-03,A,16466.985221024937,,848.7787272135416,898.41650390625,1169.1641438802083,927.7413736979166,1.5099999904632568,1.5299999713897705
2025-03-03,B,17894.446954372852,30.571484757615146,835.5843912760416,897.0054524739584,1039.0498046875,927.54931640625,1.75,1.7599999904632568
2025-03-04,A,16278.80378693458,,836.7373046875,896.6007486979166,1111.46533203125,934.0068359375,1.7799999713897705,1.7100000381469727
2025-03-04,B,18173.66110519667,43.091836959946484,820.4468587239584,894.9329427083334,940.4341634114584,935.540771484375,1.840000033378601,1.6699999570846558
2025-03-05,A,13868.947136396864,,796.063720703125,894.7586263020834,1065.357666015625,932.7871907552084,1.5099999904632568,1.5399999618530273
2025-03-05,B,19087.259330090892,46.028962755241075,794.7733561197916,892.7640787760416,1025.6226399739583,941.6625162760416,1.4500000476837158,1.5299999713897705
2025-03-06,A,19253.602854744848,,812.7548014322916,892.7618001302084,1175.6378580729167,961.753173828125,1.2300000190734863,1.440000057220459
2025-03-06,B,18568.774079318748,40.805473508197714,835.5445149739584,892.7960611979166,1108.2118326822917,947.1730143229166,1.2300000190734863,1.440000057220459
2025-03-07,A,14923.925121437813,,836.0987955729166,891.5782877604166,1174.8396809895833,905.0576985677084,1.350000023841858,1.3700000047683716
2025-03-07,B,14300.48427581403,44.5056042816834,829.459228515625,889.501953125,1130.9910481770833,938.9462076822916,1.350000023841858,1.3700000047683716
2025-03-08,A,12000.964048419695,,820.8274739583334,877.2119140625,980.6708170572916,974.0421549479166,1.3899999856948853,1.3700000047683716
2025-03-08,B,18071.94774197507,39.8328571689092,822.24462890625,851.9931640625,1139.1879069010417,968.127685546875,1.440000057220459,1.440000057220459
2025-03-09,A,10621.717450774035,,823.072998046875,855.0956217447916,1021.2303873697916,934.322021484375,1.4299999475479126,1.4199999570846558
2025-03-09,B,18898.78988184224,44.59713327979996,821.0380045572916,855.8639322916666,1097.232666015625,929.4402669270834,1.4299999475479126,1.4199999570846558
2025-03-10,A,14396.206144350772,,821.81591796875,857.2978515625,1082.17919921875,911.9430338541666,1.4500000476837158,1.4600000381469727
2025-03-10,B,15251.080822278842,41.637536729396544,819.4597981770834,854.5426432291666,959.636962890625,936.837158203125,1.3700000047683716,1.4500000476837158
2025-03-11,A,14730.740342254661,,828.6017252604166,856.153076171875,1125.3854166666667,934.957275390625,1.2599999904632568,1.4600000381469727
2025-03-11,B,11760.933508363738,40.14582113599341,849.944091796875,861.8998209635416,1095.9519856770833,945.7505696614584,1.2599999904632568,1.4600000381469727
2025-03-12,A,14553.57198880451,,866.1529947916666,868.9407552083334,932.14697265625,1000.3070475260416,1.309999942779541,1.5
2025-03-12,B,12845.734032421875,40.37000058114942,892.1133626302084,869.223876953125,1115.1027018229167,912.9297688802084,1.3700000047683716,1.5099999904632568
2025-03-13,A,14126.031572090871,,633.8093072224417,633.8027378335178,644.2425130208334,412.8277994791667,1.340000033378601,1.4900000095367432
2025-03-13,B,16787.522557033215,38.377987695768574,889.72119140625,894.5467122395834,1220.5947265625,954.575927734375,1.3899999856948853,1.4700000286102295
2025-03-14,A,18593.158958462685,,899.6688351455813,899.6724975944109,1197.6678059895833,934.35986328125,1.340000033378601,1.4299999475479126
2025-03-14,B,18440.552076171876,40.039195602440714,896.5209147135416,898.2781575520834,1183.14453125,951.052734375,1.340000033378601,1.3200000524520874
2025-03-15,A,13670.823482976386,,897.5063230426362,892.7938092200262,1076.0170084635417,941.3368326822916,1.3200000524520874,1.3300000429153442
2025-03-15,B,18452.089849108874,40.301139146894485,881.501220703125,872.9609375,1110.8172200520833,956.9468587239584,1.4700000286102295,1.4600000381469727
2025-03-16,A,17832.72372696403,,826.5453287760416,810.88232421875,1075.602783203125,1079.4849446614583,1.409999966621399,1.409999966621399
2025-03-16,B,11344.748052824458,42.25598991573593,799.6974831019903,802.888853295687,314.35683186848956,353.2527669270833,1.409999966621399,1.409999966621399
2025-03-17,A,17995.119246709553,,372.045388879015,573.1304934727476,370.3598225911458,325.92844645182294,1.409999966621399,1.399999976158142
2025-03-17,B,17661.508315078358,29.76254017541885,584.9635009765625,801.0078125,1081.940673828125,1004.09716796875,1.4500000476837158,1.4500000476837158
2025-03-18,A,6571.962246465398,,595.7013346354166,875.8556315104166,1131.0642903645833,891.9483235677084,1.4700000286102295,1.4600000381469727
2025-03-18,B,14186.209461596638,50.11388305821542,772.681396484375,883.5411783854166,951.0216471354166,973.5082194010416,1.4299999475479126,1.4500000476837158
2025-03-19,A,16938.269824513838,,729.2405598958334,879.2803548177084,1038.6942545572917,857.3631184895834,1.2999999523162842,1.4900000095367432
2025-03-19,B,14887.96982965451,48.7305448853702,798.7579752604166,889.099365234375,1035.8646647135417,1246.1036783854167,1.2999999523162842,1.4900000095367432
2025-03-20,A,16265.44795271055,,805.15966796875,888.7269694010416,1096.4864908854167,911.7252604166666,1.2300000190734863,1.350000023841858
2025-03-20,B,17436.870597258338,37.45469315793305,847.9896647135416,889.34326171875,1129.323974609375,979.995849609375,1.2400000095367432,1.3600000143051147
